Home,Away,Date,Favorite,Spread,TeamWin,WinPoints,LosePoints,Homeptsposs,AwayPtsposs,HomeeFG,AwayeFG,HomeTOV,AwayTOV,HomeOREB,AwayOREB,HomeFTR,AwayFTR,HomeRest,AwayRest,Pick,OT
POR,TOR,11/13/19,POR,2.5,TOR,114,106,106.1,116.3,48.4,53.3,12.1,14.3,29.8,32,14,17.4,0,1,,
CLE,MIA,11/14/19,MIA,4.5,MIA,108,97,98,110.2,47.1,62,18.4,19.4,25.5,16.7,20.2,12.8,1,1,,
NOP,LAC,11/14/19,LAC,4,NOP,132,127,125.7,119.8,57.1,61.3,14.3,15.1,40,15.4,20.4,28.9,2,0,,
NYK,DAL,11/14/19,DAL,7.5,NYK,106,103,111.6,107.3,51.6,47.6,15.8,12.5,37.7,24.1,9.6,27.4,1,2,,
MIL,CHI,11/14/19,MIL,11.5,MIL,124,115,107,100,51.1,50.5,19.1,17.4,31.5,20.8,38.6,23.1,3+,1,,
PHX,ATL,11/14/19,PHX,8,PHX,128,112,112.5,100,57.1,48.8,17.9,19.6,21.7,32.7,35.3,26.4,1,1,,
DEN,BRK,11/14/19,DEN,7.5,DEN,101,93,101,93.9,47.5,42.1,7.1,7.1,23,16.7,5,13.7,1,1,,
CHA,DET,11/15/19,DET,3.5,CHA,109,106,113.5,110.5,51.6,58.6,11.5,22.1,32.7,27.5,10.6,13.8,1,2,,
ORL,SAS,11/15/19,ORL,2.5,ORL,111,109,118.1,117.2,48.3,57.9,10.6,11.8,32.1,22.2,31.4,6.7,1,1,,
MIN,WAS,11/15/19,MIN,5.5,WAS,137,116,103.6,121.6,53.4,59,18,12.6,22,27.1,23.6,19.2,1,1,,
MEM,UTA,11/15/19,UTA,7.5,MEM,107,106,102.9,102.9,50,45.4,10.6,14.7,19.2,26.9,11.6,31,1,2,,
OKC,PHI,11/15/19,PHI,3.5,OKC,127,119,123.3,116.7,60.5,57.8,12.6,15.7,15.8,33.3,46.1,16.7,2,2,,TRUE
HOU,IND,11/15/19,HOU,6,HOU,111,102,110,102,48.3,50,8,17,20,25.5,28.4,24.7,1,2,,
LAL,SAC,11/15/19,LAL,10.5,LAL,99,97,107.6,104.3,48.8,53.7,14.1,19.4,25,23.9,25,11.1,1,2,,
GSW,BOS,11/15/19,BOS,7,BOS,105,100,96.2,101.9,44.5,47.8,19.2,13.6,27.5,20.7,33.8,20,1,1,,
CHI,BRK,11/16/19,CHI,4,BRK,117,111,102.8,108.3,40.1,51.1,18.5,13.9,36.7,17.6,41.8,30.7,1,1,,
IND,MIL,11/16/19,MIL,7.5,MIL,102,83,80.6,101,38,50.5,14.6,14.9,25,24.1,7.1,5.2,0,1,,
NYK,CHA,11/16/19,NYK,4,CHA,103,102,113.3,114.4,48.8,51.1,12.2,11.1,35.3,28.8,20.9,16.1,1,0,,
MIN,HOU,11/16/19,MIN,2.5,HOU,125,105,106.1,125,52.4,55.9,19.2,11,31.9,29.4,20.5,21.3,0,0,,
MIA,NOP,11/16/19,MIA,8,MIA,109,94,113.5,97.9,59.9,54.9,22.9,18.8,35.1,17.8,14.8,4.9,1,1,,
